shot,method,category,pixel_auroc,pixel_ap,image_auroc,image_ap
4,DUP_BAL_J,bracket_black,0.9740838470124177,0.18559149428133032,0.7972074468085106,0.8699851276988307
4,DUP_BAL_J,bracket_brown,0.9060588741282166,0.033952103093274184,0.5731523378582202,0.7250777918550068
4,DUP_BAL_J,bracket_white,0.9965490304092047,0.09536222826166875,0.8244444444444444,0.7945923184318668
4,DUP_BAL_J,connector,0.975297297457135,0.37503957266484705,0.8976190476190476,0.800256192220478
4,DUP_BAL_J,metal_plate,0.9796567608490621,0.8849814488088172,1.0,1.0
4,DUP_BAL_J,tubes,0.9903581521894629,0.7550403564694391,0.9633152173913043,0.9851831501360326
4,DUP_EXPECTED_J,bracket_black,0.9726147968096114,0.18031145880025276,0.805186170212766,0.8785451388047631
4,DUP_EXPECTED_J,bracket_brown,0.8986660749845139,0.03664035844975138,0.5558069381598794,0.6975675639472828
4,DUP_EXPECTED_J,bracket_white,0.9959780102214962,0.0956388400102652,0.8033333333333333,0.7775293136935915
4,DUP_EXPECTED_J,connector,0.9744181010964927,0.36600844276065275,0.9166666666666666,0.8233362599118903
4,DUP_EXPECTED_J,metal_plate,0.9726824924718734,0.8579556846474319,1.0,1.0
4,DUP_EXPECTED_J,tubes,0.9894196576007471,0.7440802643152189,0.9583333333333334,0.9832079924498316
4,A1_L,bracket_black,0.9784101660348511,0.16876473816622964,0.7945478723404256,0.8697620503258984
4,A1_L,bracket_brown,0.9142032528249885,0.037463468032349206,0.5769230769230769,0.7320996198772782
4,A1_L,bracket_white,0.996420090366819,0.10594663284797726,0.8266666666666667,0.8127483581504462
4,A1_L,connector,0.9798334933927327,0.3957197610472935,0.9142857142857143,0.8225327252112966
4,A1_L,metal_plate,0.9811469325670795,0.8850119211090588,1.0,1.0
